,lift,freq,error,rule
481,2.74264933457134,0.0376,0.0067,情報・通信業 <= -0.0526& 非鉄金属 <= 0.0260& 医薬品 > -0.0069& 陸運業 > -0.0859& 輸送用機器 <= 0.1657& 卸売業 > -0.0746
932,2.7400019896538,0.0117,0.0021,電気・ガス業 <= -0.1154& その他金融業 > -0.2675& 石油・石炭製品 <= -0.0591& 石油・石炭製品 <= -0.1235& 鉄鋼 <= 0.0793& 輸送用機器 <= 0.1064
3066,2.7400019896538,0.0117,0.0021,電気機器 <= -0.0485& 金属製品 <= 0.0558& 石油・石炭製品 <= 0.0743& 陸運業 <= -0.1028& ゴム製品 <= -0.1630& 輸送用機器 > -0.2589
3970,2.7291719422638647,0.0046,0.0008,水産・農林業 <= -0.0036& ガラス・土石製品 <= 0.1251& ガラス・土石製品 > -0.0227& パルプ・紙 <= -0.0675& 精密機器 > 0.1012& 小売業 <= 0.0223
2538,2.7291719422638647,0.0046,0.0008,食料品 <= -0.1326& 機械 <= -0.0578& 陸運業 <= -0.0834& 小売業 > -0.1857& 輸送用機器 > -0.2637
3232,2.7291719422638647,0.0459,0.0084,食料品 <= -0.0377& その他製品 > -0.2036& 非鉄金属 > -0.2356& 陸運業 <= -0.0761& 小売業 <= -0.0819& 繊維製品 <= -0.0636
1311,2.7291719422638647,0.0046,0.0008,空運業 <= -0.0640& 空運業 <= -0.2772& ガラス・土石製品 <= -0.0911& パルプ・紙 <= -0.0872
667,2.7291719422638647,0.0046,0.0008,電気機器 > 0.2591& ガラス・土石製品 <= 0.2056& 鉱業 <= 0.1944& 陸運業 > -0.0776& 繊維製品 <= 0.1446
868,2.7291719422638647,0.0046,0.0008,機械 > 0.2514& パルプ・紙 > -0.0790& 精密機器 > 0.1810& 鉄鋼 <= 0.2133
1818,2.7291719422638647,0.0046,0.0008,電気・ガス業 > -0.0566& 水産・農林業 <= -0.0495& ガラス・土石製品 > -0.1595& パルプ・紙 <= -0.1202& 卸売業 > -0.0817& 倉庫・運輸関連業 <= -0.0404
1171,2.7291719422638647,0.0046,0.0008,電気・ガス業 > -0.0965& 保険業 <= -0.1100& 石油・石炭製品 <= -0.0097& 精密機器 <= -0.1076& 繊維製品 > -0.0660
3442,2.7291719422638647,0.0046,0.0008,電気・ガス業 > -0.0897& 水産・農林業 > -0.0173& 機械 <= -0.1003& 鉱業 <= 0.1533& その他製品 > -0.0441& 繊維製品 <= -0.1492
2736,2.7291719422638647,0.0092,0.0017,化学 <= 0.0122& 建設業 <= -0.0648& 医薬品 > -0.0071& 陸運業 > -0.1008& 海運業 > 0.0723& 繊維製品 > -0.0552
1446,2.7291719422638647,0.0046,0.0008,空運業 > -0.0045& ガラス・土石製品 > -0.3200& 機械 > -0.0574& その他製品 > 0.1145& 非鉄金属 <= 0.2211& 陸運業 <= -0.0777
1191,2.725473877301447,0.0342,0.0063,電気・ガス業 > -0.0965& 水産・農林業 <= 0.0736& パルプ・紙 > -0.0952& 精密機器 > -0.1076& 陸運業 > 0.0663& 輸送用機器 > 0.1377
200,2.721191907344964,0.0793,0.0146,空運業 > -0.1350& 機械 > -0.2493& その他製品 <= 0.0281& 陸運業 <= -0.0791& 輸送用機器 <= 0.1663& 卸売業 > -0.1809
2556,2.7102193593314765,0.0067,0.0013,化学 > 0.0863& 電気機器 > 0.2232& 食料品 <= -0.0135& 非鉄金属 <= 0.3880& 陸運業 > -0.0834
771,2.7102193593314765,0.0067,0.0013,電気機器 <= 0.1973& 電気・ガス業 > -0.1325& 金属製品 <= 0.0556& パルプ・紙 <= -0.2005& 鉄鋼 > -0.1831& 繊維製品 <= -0.0569
1494,2.7102193593314765,0.0067,0.0013,機械 > -0.1349& パルプ・紙 <= -0.1023& 石油・石炭製品 <= -0.2448& 陸運業 > -0.1170& 小売業 > -0.1671& 繊維製品 <= -0.0528
1361,2.7102193593314765,0.0067,0.0013,非鉄金属 > -0.2008& パルプ・紙 <= -0.0841& 石油・石炭製品 <= -0.0783& 海運業 <= 0.1143& 鉄鋼 > -0.0270& 卸売業 > -0.0499
596,2.7068016804420294,0.0509,0.0096,水産・農林業 <= 0.0025& 非鉄金属 > -0.1531& パルプ・紙 <= -0.1014& 海運業 <= 0.1452& 輸送用機器 <= 0.0905& 卸売業 > -0.0456
1916,2.7045848076488745,0.0154,0.0029,空運業 <= 0.0708& 情報・通信業 > 0.0917& ガラス・土石製品 <= 0.1270& 機械 <= 0.1719& その他製品 > 0.0380& パルプ・紙 > -0.0829
1279,2.704051358968865,0.0706,0.0134,機械 > -0.1105& 金属製品 <= 0.0484& パルプ・紙 <= -0.0874& 陸運業 > -0.0927& 海運業 <= 0.1176& 鉄鋼 > -0.1044
3671,2.7002918158907017,0.0088,0.0017,情報・通信業 <= -0.1531& その他金融業 <= -0.0604& 水産・農林業 <= -0.0597& パルプ・紙 > -0.0874& 不動産業 <= -0.0711& 鉄鋼 <= 0.2339
2150,2.6969122266342676,0.0392,0.0075,建設業 <= 0.0036& 鉱業 <= -0.1068& 非鉄金属 > -0.2121& パルプ・紙 <= -0.0816& 医薬品 > -0.1277& 鉄鋼 <= 0.0478
3843,2.6941825583886865,0.0109,0.0021,銀行業 <= 0.2789& 化学 > 0.1990& 電気機器 > 0.2279& パルプ・紙 > -0.0719& 海運業 <= 0.1968& サイズ > -1.08
1780,2.6941825583886865,0.0326,0.0063,水産・農林業 <= 0.0025& 金属製品 <= 0.0459& 医薬品 <= -0.0682& 精密機器 > -0.1219& 鉄鋼 > -0.1012& サービス業 <= 0.0625
150,2.6941825583886865,0.0109,0.0021,ガラス・土石製品 <= -0.0282& 金属製品 <= 0.0516& 陸運業 <= -0.0904& 小売業 <= -0.1975& 鉄鋼 <= -0.0949& 輸送用機器 <= 0.0704
1572,2.6870550913030025,0.015,0.0029,電気機器 > 0.2715& ガラス・土石製品 <= 0.3071& 機械 > 0.1874& 金属製品 > 0.0614& 非鉄金属 > -0.2044& 陸運業 > -0.0786
3799,2.6847951627148587,0.0171,0.0033,銀行業 <= -0.0012& 建設業 <= 0.1206& 金属製品 <= 0.0559& パルプ・紙 > -0.0882& 海運業 <= 0.1944& 輸送用機器 > 0.1165
1330,2.6804367290091524,0.0234,0.0046,空運業 > -0.1347& その他金融業 <= -0.0659& 機械 <= 0.1687& 鉱業 > -0.1573& パルプ・紙 > -0.0872& サービス業 <= -0.1147
213,2.668523676880223,0.0063,0.0013,その他製品 > 0.0281& 非鉄金属 <= 0.1569& ゴム製品 > 0.2564& 輸送用機器 <= 0.1663& 繊維製品 <= 0.0813
2158,2.668523676880223,0.0021,0.0004,建設業 > 0.0036& 非鉄金属 > -0.2121& パルプ・紙 <= -0.0816& パルプ・紙 > -0.0928& パルプ・紙 > -0.0853
100,2.668523676880223,0.0084,0.0017,水産・農林業 <= -0.0036& 機械 > 0.1656& 金属製品 > 0.0714& 陸運業 > -0.0761& 鉄鋼 > -0.1049& 卸売業 > 0.1484
3471,2.668523676880223,0.0125,0.0025,パルプ・紙 <= -0.0651& 海運業 <= 0.1941& 海運業 > -0.0804& 鉄鋼 > -0.0964& 鉄鋼 > 0.0328& 卸売業 <= 0.0288
2161,2.668523676880223,0.0021,0.0004,食料品 > -0.0736& 非鉄金属 <= -0.1327& パルプ・紙 > -0.0816& 医薬品 > -0.0106& 陸運業 <= -0.0734
141,2.668523676880223,0.0104,0.0021,水産・農林業 > 0.1668& 金属製品 <= 0.0296& 鉱業 > -0.0030& パルプ・紙 > -0.1036& 鉄鋼 > -0.1029& 鉄鋼 <= 0.2026
3093,2.668523676880223,0.0042,0.0008,金属製品 > 0.0558& 医薬品 <= -0.0925& 海運業 > -0.0806
2167,2.668523676880223,0.0042,0.0008,鉱業 > -0.1705& その他製品 > -0.0235& 非鉄金属 > -0.1327& パルプ・紙 > -0.0816& 陸運業 <= -0.0734& ゴム製品 > 0.0453
264,2.668523676880223,0.0104,0.0021,空運業 > -0.0584& 電気・ガス業 <= -0.0946& その他製品 <= 0.0693& 非鉄金属 <= 0.2329& パルプ・紙 > -0.0655& 鉄鋼 > -0.1031
2755,2.668523676880223,0.0021,0.0004,機械 <= -0.1575& その他製品 <= 0.0280& 非鉄金属 > -0.1716& 医薬品 <= -0.0282& 海運業 <= 0.0873& サービス業 <= -0.1246
2424,2.668523676880223,0.0042,0.0008,電気・ガス業 > -0.0089& 水産・農林業 <= -0.0513& 海運業 > 0.1941
34,2.668523676880223,0.0021,0.0004,空運業 <= -0.1321& 空運業 > -0.2926& パルプ・紙 <= -0.1934& 石油・石炭製品 > -0.2087
3221,2.668523676880223,0.0021,0.0004,電気機器 > 0.1878& 電気・ガス業 > -0.0532& 食料品 <= 0.0562& 機械 <= 0.2662& 陸運業 > 0.0403& 輸送用機器 <= 0.1290
3433,2.668523676880223,0.0042,0.0008,銀行業 <= 0.0057& 化学 <= 0.0837& 情報・通信業 > -0.1180& 電気・ガス業 <= -0.0897& 海運業 > 0.0065& 輸送用機器 > 0.0963
3269,2.668523676880223,0.0021,0.0004,食料品 <= 0.0547& 鉱業 > -0.4015& 非鉄金属 <= -0.2038& パルプ・紙 <= -0.2427
